source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
inhaled_no,Inhaled nitric oxide,"procedure_code, procedure_term | treatment_code, treatment_term",snomedct:1255879001,Administration of nitric oxide,"procedure, treatment",confirmed | Match | Need to verify
trach,Tracheostomy inserted,"procedure_code, procedure_term | treatment_code, treatment_term",snomedct:232685002,Insertion of tracheostomy tube,"procedure, treatment","confirmed, Replaced snomedct:21619009 (Permanent tracheostomy) with 232685002. | Match | Need to verify"
extracorp,Extracorporeal support,"procedure_code, procedure_term | treatment_code, treatment_term",snomedct:232969009,Cardiac support using extracorporeal membrane oxygenation circuitry,"procedure, treatment","Cannot identify a code for this, make extended variable | Code and term mismatch | Need to verify"
dialysis,Renal replacement therapy (RRT) or dialysis,"procedure_code, procedure_term | treatment_code, treatment_term",snomedct:265764009,Renal dialysis,"procedure, treatment",confirmed | Match | Need to verify
inotrop_vasopress,Inotropes/vasopressors,"procedure_code, procedure_term | treatment_code, treatment_term",NCIT:C191468,Implantation of Temporary Mechanical Circulatory Support Device,"procedure, treatment","Cannot identify a code for this, make extended variable | Code and term mismatch | Need to verify"
inotrop_vasopress_start,Inotropes/vasopressors start date,age_at_treatment | treatment_duration,,,treatment,
inotrop_vasopress_end,Inotropes/vasopressors end date,treatment_duration,,,treatment,
other_intervention,Other intervention or procedure,"treatment_code, treatment_term",,,treatment,
other_intervention_desc,Please sepcify other intervention or procedure,treatment_note,,,treatment,
antiviral,Antiviral agent,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C281,Antiviral Agent,"medication, treatment",Need to verify | Need to verify
antiviral_ribavirin,Ribavirin,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C807,Ribavirin,"medication, treatment",confirmed | Code mismatch | Need to verify
antiviral_lopin_riton,Lopinavir/Ritonavir,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C2096,Lopinavir/Ritonavir,"medication, treatment",confirmed | Code and term mismatch | Need to verify
antiviral_interf_a,Interferon alpha,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C20494,Interferon Alpha,"medication, treatment","Cannot identify a code for this, make extended variable | Code and term mismatch | Need to verify"
antiviral_interf_b,Interferon beta,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C20495,Interferon Beta,"medication, treatment",confirmed | Code and term mismatch | Need to verify
antiviral_neur_inhibitor,Neuraminidase inhibitor,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C217656,Neuraminidase Inhibitor,"medication, treatment",added and confirmed | Match | Need to verify
antiviral_other,Other antiviral agent,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C281,Antiviral Agent,"medication, treatment",Need to verify | Need to verify
antiviral_other_name,Specify other antiviral agent,drug_note | treatment_note,,,"medication, treatment",
antibiotic_azithro,Azithromycin (Zithromax),"medication_code, medication_term | treatment_code, treatment_term",rxnorm:18631,azithromycin,"medication, treatment",confirmed | Term mismatch | Need to verify
antibiotic_other,Any other antibiotic,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C15620,Antibiotic Therapy,"medication, treatment",Need to verify | Need to verify
antibiotic_other_name,Specify other antibiotic,drug_note | treatment_note,,,"medication, treatment",
cort,Corticosteroid,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C2322,Corticosteroid,"medication, treatment",Need to verify | Need to verify
cort_oral,Oral corticosteroids,treatment_note,,,treatment,
cort_iv,IV corticosteroids,treatment_note,,,treatment,
cort_inhal,Inhaled corticosteroids,treatment_note,,,treatment,
cort_type___1,Specify corticosteroid type (choice=Methylprednisone),"drug_code, drug_term, drug_source_text",rxnorm:6902,methylprednisolone,medication,confirmed | Term mismatch
cort_type___2,Specify corticosteroid type (choice=Prednisone),"drug_code, drug_term, drug_source_text",rxnorm:8640,prednisone,medication,confirmed | Term mismatch
cort_type___3,Specify corticosteroid type (choice=Prednisolone),"drug_code, drug_term, drug_source_text",rxnorm:8638,prednisolone,medication,confirmed | Term mismatch
cort_type___4,Specify corticosteroid type (choice=Hydrocortisone),"drug_code, drug_term, drug_source_text",rxnorm:5492,hydrocortisone,medication,confirmed | Term mismatch
cort_type___5,Specify corticosteroid type (choice=Other),"drug_code, drug_term, drug_source_text",NCIT:C2323,Glucocorticoid,medication,Need to verify
cort_type_other,Specify other corticosteroid type,treatment_note,,,treatment,
cort_dose,Specify corticosteroid dose,actual_cumulative_drug_dose | prescribed_cumulative_drug_dose,,,medication,
antifungal,Antifungal agent,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C514,Antifungal Agent,"medication, treatment",added and confirmed | Match | Need to verify
colchicine,Colchicine,"medication_code, medication_term | treatment_code, treatment_term",rxnorm:2683,colchicine,"medication, treatment",confirmed | Term mismatch | Need to verify
chloroq,Chloroquine (Aralen),"medication_code, medication_term | treatment_code, treatment_term",rxnorm:2393,chloroquine,"medication, treatment",confirmed | Term mismatch | Need to verify
hydroxychloroq,Hydroxycholorquine,"medication_code, medication_term | treatment_code, treatment_term",rxnorm:5521,hydroxychloroquine,"medication, treatment",confirmed | Term mismatch | Need to verify
